3.052731,39.73824,Carrer Ruiz Zorrilla (Muro)
2.483067,39.65368,Carrer Sa Siquia (Estellencs)
2.808846,39.67043,"Carrer Sant A. Abat, 1002_Poliesportiu (Consell)"
2.652379,39.5768,"Carrer Sant Miquel, 68_Motos (Palma)"
2.65234,39.576805,"Carrer Sant Miquel, 77 (Palma)"
3.006042,39.64456,"Carrer Son Costa, 34 (Sineu)"
2.7005,39.6869,"Carrer Son Serra, s/n_ Poliesportiu (Bunyola)"
4.2535,39.8792,"Carrer Sàhara, 31-39 (Maó)"
3.135223,39.842274,Carrer Teodor Canet_Aparcament (Port d'Alcúdia)
2.7537,39.5,"Carrer Terral, cantó Trencadors 25 (S'Arenal)"
3.390105,39.613613,"Carrer Tramuntana, 7 (Cala Bona)"
3.1334,39.3508,"Carrer Vidal Bernat i Tomas, 71 (Santanyí)"
4.0146,39.9857,"Carrer Vila Pepa, 59 (Ferreries)"
4.2619,39.8852,Carrer d'Albert Camus (Maó)
3.0813,39.9093,"Carrer d'Almirall Cervera, 34 (Port de Pollença)"
2.657374,39.57309,"Carrer d'Aragó, 4 (Palma)"
2.657391,39.573116,"Carrer d'Aragó, 4_Motos  (Palma)"
1.4104,38.901,"Carrer d'Ernest Ehrenfeld, 1 (Eivissa)"
3.0263,39.5132,"Carrer d'en Dusai, 5 (Porreres)"
3.347439,39.6914,Carrer de 31 de març (Artà)
1.4283,38.9173,"Carrer de Cas Dominguets, 2 (Eivissa)"
2.8464,39.6879,Carrer de Guillem Martí Coll (Binissalem)
2.581087,39.663597,"Carrer de Joan Riutort, 90 (Esporles)"
1.432794,38.907356,"Carrer de Joan Xicó, 3 (Eivissa)"
2.654011,39.57363,Carrer de Josep Tous i Ferrer _Motos (Palma)
1.5329,38.9818,"Carrer de Juan Tur, 13 (Santa Eulària des Riu)"
3.2819,39.6108,Carrer de Lepant 16 (Sant Llorenç des Cardessar)
4.091977,39.987244,"Carrer de Lepanto, 4 (Mercadal)"
1.2949,38.9214,Carrer de Pere Escanellas(Sant Josep de sa Talaia)
2.9362,39.6233,"Carrer de Ruberts, 999 (Ruberts)"
2.527088,39.62396,"Carrer de Sa Vela, 7 (Puigpunyent)"
4.1447,39.9339,Carrer de Sant Joan Baptista de la Salle (Alaior)
2.8964,39.563,"Carrer de Ses Escoles, 14 (Algaida)"
2.838909,39.62316,"Carrer de Ses Escoles, 5 (Santa Eugènia)"
4.249706,39.88684,Carrer de Ses Quatre Boques (Maó)
3.0803,39.909,"Carrer de Vicenç Buades, 51 (Port de Pollença)"
3.224468,39.364944,"Carrer de Voltor, 70"
1.4276,38.9076,"Carrer de l'Arxiduc Lluís Salvador, 3 (Eivissa)"
2.8728,39.748,"Carrer de l'Atmetller, 3-7 (Mancor de la Vall)"
2.948973,39.65421,Carrer de la Balanguera_cl. Sant Sebastia (Costix)
2.9035,39.7713,Carrer de la Lluna (Selva)
2.8657,39.7208,"Carrer de la Pastora, 35 (Lloseta)"
3.053641,39.339436,"Carrer de la Pau, 1 (Ses Salines)"
2.8448,39.6857,"Carrer de la Portella, 12 (Binissalem)"
2.9756,39.6189,"Carrer de la Riba, 1 (Lloret de Vista Alegre)"
3.4273,39.7022,"Carrer de la Vinya, 18 (Capdepera)"
1.4246,38.9086,"Carrer de les Balears, 13 (Eivissa)"
2.698495,39.69748,Carrer de les Vinyetes 2 (Bunyola)
2.6723,39.6623,"Carrer de les Violetes, 3-5 (Palmanyola)"
3.145233,39.32799,"Carrer de sa Cova des Vell Mari, 16"
2.8397,39.69,"Carrer del Catedràtic Llabres, 37 (Binissalem)"
3.053881,39.920425,Carrer del Cavall Bernat  (Cala Sant Vicenç)
2.8435,39.6828,"Carrer del Conquistador, 96-98 (Binissalem)"
2.7023,39.6912,"Carrer del Garrigo, 2 (Bunyola)"
1.2403,38.9421,"Carrer del Llavio, 8 (Sant Josep de sa Talaia)"
3.379626,39.60424,"Carrer del Llorer, 3 (Cala Millor)"
1.4349,398.9182,"Carrer del Pare Josep Manxarrell, 11 (Eivissa)"
3.008,39.6417,"Carrer del Racó, 24 _A.P. Sa Quintana (Sineu)"
1.4278,38.9222,"Carrer del Raspallar, 5 (Eivissa)"
4.129585,40.05483,Carrer del Rosari 26 (Fornells)
2.8656,39.7156,Carrer del Teatre (Lloseta)
2.6181,39.71191,"Carrer del Venerable Sor Aina, 11 (Valldemossa)"
2.872,39.7188,"Carrer dels Reis Catòlics, 26 (Lloseta)"
1.2722,38.9679,Carrer des Caló (Sant Josep de sa Talaia)
1.421653,38.911446,Carrer des Cubells (Eivissa)
3.026936,39.77414,Carrer des Fradins 146 (Sa Pobla)
2.8607,39.6392,"Carrer des Pou, 21 (Biniali)"
2.888258,39.560783,"Carreró dels Hortets, 73 (Algaida)"
3.1438,39.7702,Carretera Artà-Alcúdia (Can Picafort)
2.643785,39.591618,Consell de Mallorca. Llar d'Infancia (Palma)
1.478291,39.030296,Ctra Sant Llorenç (Sant Llorenç de Balàfia)
1.514,39.0772,"Disseminat Cas Ripolls, 21 (Sant Joan de Labritja)"
4.2494,39.9019,Es Grau Granja (Maó)
2.6914,39.5906,Es Pinaret GOIB (Marratxí)
2.661714,39.620953,Estació metro Son Sardina (Palma)
2.64467,39.590645,General Riera 111 (Palma)
3.050627,39.73201,IES Albuhaira (Muro)
2.6437,39.5888,"Palma Arena, GOIB (Palma)"
4.279125,39.81367,Parking Punta Prima (Sant Lluís)
2.8967,39.6449,Passatge Bartomeu Oliver i Amengual (Sencelles)
3.158,39.7647,"Passeig Colón, 21 (Can Picafort)"
2.8858,39.487,"Passeig Jaume III, 20 (Llumajor)"
3.1627,39.7622,"Passeig Mallorca, 1 (Can Picafort)"
2.643953,39.57405,"Passeig Mallorca, 28 (Palma)"
4.235009,39.819336,"Passeig Marítim Binibequer Vell, 33 (Binibequer)"
4.2749,39.8888,"Passeig Marítim, 11 (Maó)"
3.1225,39.8516,Passeig Pere Ventanyol (Alcúdia)
3.1443,39.4731,"Passeig Ramón Llull,  23_Auditori (Felanitx)"
1.448,38.9138,"Passeig de Joan Carles I, 32 (Eivissa)"
1.3001,38.9786,"Passeig de la Mar, 18 (Sant Antoni de Portmany)"
1.3051,38.9801,"Passeig de ses Fonts, 6 (Sant Antoni de Portmany)"
2.65555,39.5811,Plaça Alexander Fleming (Palma)
3.27685,39.73677,Plaça Bassa d'en Fassol (Artà)
2.8971,39.6461,"Plaça Can Brit, s/n (Sencelles)"
2.7775,39.6488,Plaça Espanya (Santa Maria del Camí)
2.8678,39.7189,"Plaça Espanya, 15 (LLoseta)"
4.2907,39.8796,Plaça Esplanada (Es Castell)
2.913721,39.723484,Plaça Font Vella (Inca)
3.088978,39.568386,"Plaça Major, 6 (Vilafranca)"
2.8999,39.6473,"Plaça Nova, s/n (Sencelles)"
2.649455,39.584,Plaça París (Palma)
3.21119,39.56908,Plaça Rector Rubi 5 (Manacor)
3.209269,39.407658,Plaça Sant Isidre _S'Horta (Felanitx))
2.8905,39.4907,"Plaça Santa Catalina Thomas, 6 (Llucmajor)"
3.0102,39.6988,Plaça Son Ramis (Llubí)
3.0573,39.7368,Plaça de l'Ajuntament (Muro)
3.284206,39.609924,Plaça de l'Ajuntament (Sant Llorenç des Cardessar)
2.8418,39.6891,"Plaça de l'Església, 22 (Binissalem)"
3.097298,39.341007,"Plaça de l'església, 5 (Es Llombards)"
3.1058,39.7051,"Plaça de s'Abeurador, 3 (Santa Margalida)"
3.027445,39.771217,"Plaça del Mercat, 61 (Sa Pobla)"
3.8357,40.0005,Plaça des Born (Ciutadella)
3.0753,39.6663,Plaça des Pou 7-A (Maria de la Salut)
4.093892,39.99264,Poliesportiu (Es Mercadal)
4.0507,39.945,Poliesportiu (Es Migjorn Gran)
2.9671,39.6147,Poliesportiu (Lloret de Vista Alegre)
3.053274,39.73017,Poliesportiu (Muro)
3.018405,39.761326,Poliesportiu (Sa Pobla) 
1.3081,38.9937,Poliesportiu Can Coix (S.Antonio de Portmany)
2.9233,39.7273,Poliesportiu Mateu Cañellas (Inca)
3.1194,39.6158,Poliesportiu Petra (Petra)
1.463615,39.058964,Poliesportiu Sant Joan de Labritja
4.255128,39.847507,Poliesportiu Sant Lluís (Sant Lluís)
3.0221,39.8763,Poliesportiu_Aparcament (Pollença)
2.797914,39.847595,Port de Sa Calobra
3.854412,40.01035,Sa Roqueta (Ciutadella)
2.9663,39.7745,Santa Victòria 1-9 (Campanet)
4.043,39.9139,Urb Santo Tomás (Es Migjorn Gran)
